MicroRNA;Research field;Study ;Medium;Finding;Function;;;;;;;
miR-432-5p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to HC, Significantly dysregulated in S/PPMS compared to RRMS;;;;;;;;
miR-30b-5p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in RRMS compared to HC, 95% accuracy rate of predicting disease progressive forms of MS from RRMS together with miR-485-3p and miR-223-3p;;;;;;;;
miR-342-3p ;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in RRMS compared to HC, Significantly dysregulated in S/PPMS compared to RRMS;Especially enriched in microglia and dysregulated in Creutzfeldt-Jakob and Alzheimer’s disease, marker of neuro-axonal injury;;;;;;;
miR-451a;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in RRMS compared to HC;Regulator of oxidative stress with potential importance in a variety of neurodegenerative process;;;;;;;
miR-127-3p ;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in RRMS compared to HC;;;;;;;;
miR-15-5b;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS;Targets fibroblast growth factor-2 (FGF-2) gene implicated in demyelination and remyelination;;;;;;;0
miR-23a-3p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS;Involved in oligodendrocyte differentiation26 and increases within active and chronic MS lesions,  targets fibroblast growth factor-2 (FGF-2) gene implicated in demyelination and remyelination;;;;;;;
miR-223-3p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS, 95% accuracy rate of predicting disease progressive forms of MS from RRMS together with miR-485-3p and miR-30b-5p; Targets the transcription factor STAT5 and other inflammatory regulators implicated in MS such as heat shock protein 90 and E2F;;;;;;;
miR-374-5p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS;;;;;;;;
miR-433-3p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS;;;;;;;;
miR-485-3p;MS;"Ebrahimkhani S, Suter CM, Buckland ME et al. Exosomal microRNA signatures in multiple sclerosis reflect disease status. Sci Rep. 2017 Oct 30;7(1):14293.";Serum EV;Significantly dysregulated in S/PPMS compared to RRMS, 95% accuracy rate of predicting disease progressive forms of MS from RRMS together with miR-223-3p and miR-30b-5p;;;;;;;;
miR-18a;MS;"Sohan Forooshan Moghadam A, Ataei M, Arabzadeh G, Falahati K, Roshani F, Sanati MH. Analysis of MicroRNA-18a Expression in Multiple Sclerosis Patients. Rep Biochem Mol Biol. 2020 Jan;8(4):429-437. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Total blood. Serum and white matter lesions of MS brains. ;Expression was significantly less in patients than in healthy control samples. Significantly downregulated in WMLs of progressive MS brains. ;p53, MAPK, and apoptosis signaling pathways;;;;;;;
miR-628-3p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Serum. White matter lesions of MS brains.;Pathogenic correlation with T2LV, burden of demyelinating foci. Significantly downregulated in WMLs of progressive MS brains.;;;;;;;;
miR-331-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity;;;;;;;;0
miR-338-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Serum. White matter lesions of MS brains.;Protective correlation with T1:T2 ratio, lower MRI severity. Significantly downregulated in WMLs of progressive MS brains.;;;;;;;;
miR-433;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity;;;;;;;;
miR-143-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity, in both cohorts;NF-?B signaling pathway, T-cell receptor signaling pathway, leukocyte transendothelial migration. The expression of hsa.miR.143 in neuronal stem cells is increased following the administration of insulinlike growth factor-1. Neuroprotection and repair.;;;;;;;
miR-181c-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity, in both cohorts;TGF-? signaling pathway, neurotrophin signaling pathway, T-cell receptor signaling pathway. Targets TRA,  CD69, and AICDA—all known to mediate proinflammatory pathogenic effects by modulating T-cell activation or autoantibody production by B cells, and MMP14.;;;;;;;
miR-183-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic correlation with T1:T2 ratio, higher MRI severity;;;;;;;;
miR-142-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity;Targets nuclear factor erythroid-like 2 and plays a key role in regulating genes involved in responses to free radical production upon injury and inflammation.;;;;;;;
miR-365-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with T1:T2 ratio, lower MRI severity;;;;;;;;
miR-101-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity, protective correlation with EDSS;;;;;;;;
miR-324-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity;;;;;;;;
miR-379-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic correlation with GMF atrophy, higher expression associated with higher severity;;;;;;;;
miR-340-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic correlation with GMF atrophy, higher expression associated with higher severity;;;;;;;;
hsa-let-7a-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic correlation with GMF atrophy, higher expression associated with higher severity;;;;;;;;
miR-19a-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity, protective correlation with EDSS;;;;;;;;
miR-20a-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity. Detected also in GMLs, upregulated. ;;;;;;;;
hsa-let-7e-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic correlation with GMF atrophy, higher expression associated with higher severity;;;;;;;;
miR-15b-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity;;;;;;;;
miR-106b-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective correlation with GMF (gray matter fraction) atrophy, higher expression associated with lower severity;;;;;;;;
miR-30e-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS;;;;;;;;
miR-19b-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS;;;;;;;;
miR-29c-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS. Detected in GMLs, upregulated. ;;;;;;;;
miR-32-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS;;;;;;;;
miR-142-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS, protective association with lesion severity;Axonal guidance signaling, IL-6 signaling, B-cell activating factor signaling;;;;;;;
miR-27a-3p;MS;"1. Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. 2. Min S, Li L, Zhang M, Zhang Y, Liang X, Xie Y, He Q, Li Y, Sun J, Liu Q, Jiang X, Zhang Y, Che Y, Yang R. TGF-?-associated miR-27a inhibits dendritic cell-mediated differentiation of Th1 and Th17 cells by TAB3, p38 MAPK, MAP2K4 and MAP2K7. Genes Immun. 2012 Dec;13(8):621-31. ";Serum ;Protective association with EDSS. Inhibits the differentiation of Th1 and Th17 lymphocytes, is involved in the regulation of the neurotrophin pathway and is highly expressed in RRMS compared with SPMS patients;;;;;;;;
miR-136-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS;;;;;;;;
miR-548a-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-515-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-27b-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum. White matter lesions of MS brains.;Protective association with lesion MRI severity. Significantly downregulated in MS brains (27-b-3p, pathogenic????);;;;;;;;
miR-223-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-574-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum. White matter lesions of MS brains.;Protective association with lesion MRI severity. Significantly downregulated in MS brains.;;;;;;;;
miR-23b-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum. White matter lesions of MS brains.;Protective association with lesion MRI severity. Significantly downregulated in MS brains.;;;;;;;;
miR-23a-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-197-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-25-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with lesion MRI severity ;;;;;;;;
miR-1271-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with lesion MRI severity ;;;;;;;;
miR-484 ;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with atrophy MRI measures ;;;;;;;;
miR-627-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with atrophy MRI measures;;;;;;;;
miR-671-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with atrophy MRI measures;;;;;;;;
miR-320b;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Serum. White matter lesions of MS brains.;Pathogenic association with atrophy MRI measures. Significantly upregulated in WMLs of progressive MS brains.;;;;;;;;
miR-362-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum. White matter lesions of MS brains.;Protective association with atrophy MRI measures. Significantly upregulated in WMLs of progressive MS brains.;;;;;;;;
miR-30a-3p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with atrophy MRI measures ;;;;;;;;
miR-548d-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with atrophy MRI measures;;;;;;;;
miR-486-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with atrophy MRI measures, in both cohorts;Integrin signaling, leukocyte extravasation signaling. Targets (PTEN) and (FOXO1). Both PTEN and FOXO1 are involved in the PI3K/Akt signaling pathway. ;;;;;;;
miR-132-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with atrophy MRI measures;;;;;;;;
miR-135a-5p;MS;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with atrophy MRI measures;;;;;;;;
miR-199a-5p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum. White matter lesions of MS brains.;Protective association with EDSS. Significantly upregulated in WMLs of progressive MS brains. ;;;;;;;;
miR-25-5p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with EDSS ;;;;;;;;
miR-551b-3p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-496;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-301a-3p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-181c-3p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-301b;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-136-3p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Protective association with EDSS ;;;;;;;;
miR-15a-5p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Serum. White matter lesions of MS brains.;Protective association with EDSS. Significantly downregulated in WMLs of progressive MS brains. (pathogenic association with MRI lesion severity??);;;;;;;;
miR-let7b-5p;MS ;"Regev K, Gandhi R, Bakshi R et al. Association Between Serum MicroRNAs and Magnetic Resonance Imaging Measures of Multiple Sclerosis Severity. JAMA Neurol. 2017 Mar 1;74(3):275-285";Serum ;Pathogenic association with EDSS;;;;;;;;
miR-660;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly upregulated in WMLs.;;;;;;;;
miR-150;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly upregulated in WMLs.;;;;;;;;
miR-7;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly downregulated in WMLs.;;;;;;;;
miR-340;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly downregulated in WMLs.;;;;;;;;
miR-338;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly downregulated in WMLs.;;;;;;;;
miR-181c;MS;"Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862";Serum and white matter lesions of MS brains;Significantly downregulated in WMLs.;;;;;;;;
miR-29c;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains. Pathogenic.;;;;;;;;
miR-219-2-3p;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-126;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-20a;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains. Pathogenic.;;;;;;;;
miR-338-5p;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;Plays a major role during CNS myelination and myelin repair.;;;;;;;
miR-181b;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
miR-100;MS;"Tripathi A, Pandit I, Perles A, Zhou Y, Cheng F, Dutta R. Identifying miRNAs in multiple sclerosis gray matter lesions that correlate with atrophy measures. Ann Clin Transl Neurol. 2021 Jun;8(6):1279-1291.";MS brains.;Significantly downregulated in GMLs compared to NAGM in progressive MS brains.;;;;;;;;
